SN,Ticker,High,Low,Close
3667,TSCBP,27.100000381469727,27.100000381469727,27.100000381469727
3668,TSCO,181.3000030517578,177.3800048828125,181.05999755859375
3669,TSEM,27.219999313354492,26.579999923706055,27.15999984741211
3670,TSHA,22.739999771118164,21.899999618530273,22.31999969482422
3671,TSIA,11.239999771118164,10.649999618530273,10.829999923706055
3672,TSIAU,12.0600004196167,11.949999809265137,11.989999771118164
3673,TSIAW,2.75,2.390000104904175,2.4200000762939453
3674,TSIBU,10.029999732971191,9.979999542236328,9.989999771118164
3675,TSLA,600.6099853515625,577.2000122070312,599.0499877929688
3676,TSRI,8.399999618530273,8.149999618530273,8.260000228881836
3677,TTCF,22.579999923706055,21.90999984741211,22.34000015258789
3678,TTD,584.9099731445312,572.1599731445312,574.75
3679,TTEC,110.0,107.0,109.91999816894531
3680,TTEK,120.70999908447266,119.05000305175781,119.36000061035156
3681,TTGT,67.2699966430664,66.13999938964844,66.80999755859375
3682,TTMI,15.239999771118164,15.1899995803833,15.210000038146973
3683,TTNP,2.5999999046325684,2.509999990463257,2.5999999046325684
3684,TTOO,1.2899999618530273,1.2400000095367432,1.2699999809265137
3685,TTWO,184.94000244140625,178.11000061035156,184.4499969482422
3686,TURN,8.149999618530273,8.010000228881836,8.130000114440918
3687,TUSK,4.110000133514404,3.8450000286102295,3.9200000762939453
3688,TVAC,9.979999542236328,9.970000267028809,9.979999542236328
3689,TVACU,10.369999885559082,10.350000381469727,10.350000381469727
3690,TVACW,0.8999999761581421,0.8500000238418579,0.8519999980926514
3691,TVTX,14.430000305175781,13.949999809265137,14.109999656677246
3692,TVTY,26.309999465942383,25.709999084472656,25.75
3693,TW,82.8550033569336,81.55999755859375,82.26000213623047
3694,TWCT,9.920000076293945,9.890000343322754,9.899999618530273
3695,TWCTU,10.385000228881836,10.385000228881836,10.385000228881836
3696,TWCTW,1.7200000286102295,1.6699999570846558,1.6700999736785889
3697,TWIN,14.739999771118164,14.0600004196167,14.079999923706055
3698,TWLVU,9.9399995803833,9.890000343322754,9.9399995803833
3699,TWNK,16.5,15.779999732971191,16.020000457763672
3700,TWNKW,2.359999895095825,2.1600000858306885,2.259999990463257
3701,TWOU,35.19499969482422,34.20000076293945,34.86000061035156
3702,TWST,99.66000366210938,95.87999725341797,96.33999633789062
3703,TXG,182.1699981689453,172.57000732421875,180.17999267578125
3704,TXMD,1.25,1.2100000381469727,1.2100000381469727
3705,TXN,190.3800048828125,187.47999572753906,190.07000732421875
3706,TXRH,97.8499984741211,95.61000061035156,97.72000122070312
3707,TYHT,6.889999866485596,6.374000072479248,6.710000038146973
3708,TYME,1.559999942779541,1.5099999904632568,1.5099999904632568
3709,TZOO,16.690000534057617,15.260000228881836,15.609999656677246
3710,TZPSU,9.949999809265137,9.90999984741211,9.949999809265137
3711,TZPSW,0.7400000095367432,0.7300000190734863,0.7400000095367432
3712,UAL,58.400001525878906,56.720001220703125,56.93000030517578
3713,UBCP,15.399999618530273,15.140000343322754,15.279999732971191
3714,UBFO,8.550000190734863,7.949999809265137,8.430000305175781
3715,UBOH,32.97999954223633,29.5,32.97999954223633
3716,UBSI,39.380001068115234,38.58000183105469,39.22999954223633
3717,UBX,4.679999828338623,4.559999942779541,4.559999942779541
3718,UCBI,34.709999084472656,34.02000045776367,34.630001068115234
3719,UCBIO,28.0,27.549999237060547,27.634000778198242
3720,UCL,11.970000267028809,11.095000267028809,11.529999732971191
3721,UCTT,57.880001068115234,56.22999954223633,57.70000076293945
3722,UEIC,50.91999816894531,50.0099983215332,50.709999084472656
3723,UEPS,5.360000133514404,5.170000076293945,5.199999809265137
3724,UFCS,30.979999542236328,30.170000076293945,30.510000228881836
3725,UFPI,77.0,75.06999969482422,76.51000213623047
3726,UFPT,58.27000045776367,57.630001068115234,57.790000915527344
3727,UG,16.59000015258789,16.0,16.200000762939453
3728,UGRO,10.199999809265137,9.970000267028809,10.140000343322754
3729,UHAL,575.0,564.7100219726562,568.5900268554688
3730,UIHC,5.769999980926514,5.46999979019165,5.579999923706055
3731,UK,2.7300000190734863,2.514400005340576,2.5299999713897705
3732,UKOMW,0.3195990025997162,0.2806999981403351,0.3195990025997162
3733,ULBI,9.470000267028809,9.239999771118164,9.289999961853027
3734,ULH,25.5,24.8700008392334,25.149999618530273
3735,ULTA,335.260009765625,323.1099853515625,326.6199951171875
3736,UMBF,97.97000122070312,96.30000305175781,97.13999938964844
3737,UMPQ,19.239999771118164,18.969999313354492,19.209999084472656
3738,UNAM,4.639999866485596,4.630000114440918,4.630000114440918
3739,UNB,34.31999969482422,33.650001525878906,34.31999969482422
3740,UNIT,11.119999885559082,10.850000381469727,10.859999656677246
3741,UNTY,24.229999542236328,23.56999969482422,23.780000686645508
3742,UONE,13.979999542236328,12.25,13.0600004196167
3743,UONEK,5.78000020980835,5.389999866485596,5.460000038146973
3744,UPLD,40.7400016784668,40.11000061035156,40.15999984741211
3745,UPST,191.88999938964844,160.11000061035156,164.0399932861328
3746,UPWK,46.77000045776367,45.380001068115234,46.349998474121094
3747,URBN,37.77000045776367,36.02000045776367,37.20000076293945
3748,URGN,18.420000076293945,17.770000457763672,17.979999542236328
3749,USAK,16.290000915527344,15.289999961853027,15.75
3750,USAP,11.899999618530273,11.050000190734863,11.300000190734863
3751,USAU,12.180000305175781,11.8100004196167,11.989999771118164
3752,USCR,57.95000076293945,56.5099983215332,57.13999938964844
3753,USEG,4.260000228881836,4.079999923706055,4.159999847412109
3754,USIO,6.75,6.440000057220459,6.590000152587891
3755,USLM,139.4499969482422,136.13999938964844,137.3000030517578
3756,USWS,1.340000033378601,1.0299999713897705,1.0399999618530273
3757,USWSW,0.2198999971151352,0.17710000276565552,0.1937990039587021
3758,UTHR,175.97000122070312,171.64999389648438,175.9499969482422
3759,UTMD,84.44999694824219,83.22000122070312,84.08000183105469
3760,UTSI,1.6699999570846558,1.409999966621399,1.4299999475479126
3761,UVSP,29.010000228881836,28.549999237060547,28.850000381469727
3762,UXIN,4.449999809265137,4.159999847412109,4.340000152587891
3763,VACQ,10.270000457763672,10.050000190734863,10.149999618530273
3764,VACQU,10.869999885559082,10.859999656677246,10.859999656677246
3765,VACQW,2.25,2.130000114440918,2.25
3766,VALU,30.799999237060547,29.8700008392334,30.18000030517578
3767,VAQC,9.899999618530273,9.800000190734863,9.859999656677246
3768,VBFC,47.83000183105469,47.04999923706055,47.04999923706055
